indicator_id,project_name,task_name,indicator_name,year,target_value,source_sheet,source_excel_row
ind_8526071799,1. 인력양성,1-3. 바이오 단독형,03. 지역 외(수도권 제외) 취업자 수,2025,14,2026,47
ind_8526071799,1. 인력양성,1-3. 바이오 단독형,03. 지역 외(수도권 제외) 취업자 수,2026,15,2026,47
ind_8526071799,1. 인력양성,1-3. 바이오 단독형,03. 지역 외(수도권 제외) 취업자 수,2027,16,2026,47
ind_8526071799,1. 인력양성,1-3. 바이오 단독형,03. 지역 외(수도권 제외) 취업자 수,2028,17,2026,47
ind_8526071799,1. 인력양성,1-3. 바이오 단독형,03. 지역 외(수도권 제외) 취업자 수,2029,18,2026,47
ind_7f14e76c1b,1. 인력양성,1-3. 바이오 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,1,2026,50
ind_7f14e76c1b,1. 인력양성,1-3. 바이오 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2026,1,2026,50
ind_7f14e76c1b,1. 인력양성,1-3. 바이오 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2027,1,2026,50
ind_7f14e76c1b,1. 인력양성,1-3. 바이오 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2028,1,2026,50
ind_7f14e76c1b,1. 인력양성,1-3. 바이오 단독형,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,2029,1,2026,50
ind_754c43db41,1. 인력양성,1-3. 바이오 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2025,1,2026,51
ind_754c43db41,1. 인력양성,1-3. 바이오 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2026,2,2026,51
ind_754c43db41,1. 인력양성,1-3. 바이오 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2027,3,2026,51
ind_754c43db41,1. 인력양성,1-3. 바이오 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2028,4,2026,51
ind_754c43db41,1. 인력양성,1-3. 바이오 단독형,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,2029,5,2026,51
ind_427fa3beba,1. 인력양성,1-3. 바이오 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,5,2026,52
ind_427fa3beba,1. 인력양성,1-3. 바이오 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2026,5,2026,52
ind_427fa3beba,1. 인력양성,1-3. 바이오 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2027,5,2026,52
ind_427fa3beba,1. 인력양성,1-3. 바이오 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2028,5,2026,52
ind_427fa3beba,1. 인력양성,1-3. 바이오 단독형,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,2029,5,2026,52
ind_33b5d0c032,1. 인력양성,1-3. 바이오 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2025,2,2026,53
ind_33b5d0c032,1. 인력양성,1-3. 바이오 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2026,3,2026,53
ind_33b5d0c032,1. 인력양성,1-3. 바이오 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2027,4,2026,53
ind_33b5d0c032,1. 인력양성,1-3. 바이오 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2028,5,2026,53
ind_33b5d0c032,1. 인력양성,1-3. 바이오 단독형,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,2029,6,2026,53
ind_b41b07e837,1. 인력양성,1-3. 바이오 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2025,5,2026,54
ind_b41b07e837,1. 인력양성,1-3. 바이오 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2026,5,2026,54
ind_b41b07e837,1. 인력양성,1-3. 바이오 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2027,5,2026,54
ind_b41b07e837,1. 인력양성,1-3. 바이오 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2028,5,2026,54
ind_b41b07e837,1. 인력양성,1-3. 바이오 단독형,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,2029,5,2026,54
ind_fcf034942d,1. 인력양성,1-3. 바이오 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2025,1,2026,55
ind_fcf034942d,1. 인력양성,1-3. 바이오 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2026,2,2026,55
ind_fcf034942d,1. 인력양성,1-3. 바이오 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2027,3,2026,55
ind_fcf034942d,1. 인력양성,1-3. 바이오 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2028,4,2026,55
ind_fcf034942d,1. 인력양성,1-3. 바이오 단독형,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,2029,5,2026,55
ind_e9745c19f0,1. 인력양성,1-3. 바이오 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2025,1,2026,56
ind_e9745c19f0,1. 인력양성,1-3. 바이오 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2026,1,2026,56
ind_e9745c19f0,1. 인력양성,1-3. 바이오 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2027,2,2026,56
ind_e9745c19f0,1. 인력양성,1-3. 바이오 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2028,2,2026,56
ind_e9745c19f0,1. 인력양성,1-3. 바이오 단독형,08. 표준현장실습 참여자 중 실습기업 취업자 수,2029,3,2026,56
ind_31b6ee26d3,1. 인력양성,1-3. 바이오 단독형,(신규) 대학 전체 재학생 수,2025,7950,2026,57
ind_31b6ee26d3,1. 인력양성,1-3. 바이오 단독형,(신규) 대학 전체 재학생 수,2026,7950,2026,57
ind_31b6ee26d3,1. 인력양성,1-3. 바이오 단독형,(신규) 대학 전체 재학생 수,2027,7990,2026,57
ind_31b6ee26d3,1. 인력양성,1-3. 바이오 단독형,(신규) 대학 전체 재학생 수,2028,8030,2026,57
ind_31b6ee26d3,1. 인력양성,1-3. 바이오 단독형,(신규) 대학 전체 재학생 수,2029,8070,2026,57
ind_af1b4af73f,1. 인력양성,1-3. 바이오 단독형,10. 지역고교생 참여 프로그램 이수자 수,2025,40,2026,59
ind_af1b4af73f,1. 인력양성,1-3. 바이오 단독형,10. 지역고교생 참여 프로그램 이수자 수,2026,45,2026,59
ind_af1b4af73f,1. 인력양성,1-3. 바이오 단독형,10. 지역고교생 참여 프로그램 이수자 수,2027,50,2026,59
ind_af1b4af73f,1. 인력양성,1-3. 바이오 단독형,10. 지역고교생 참여 프로그램 이수자 수,2028,55,2026,59
ind_af1b4af73f,1. 인력양성,1-3. 바이오 단독형,10. 지역고교생 참여 프로그램 이수자 수,2029,60,2026,59
ind_79360ff0b6,1. 인력양성,1-3. 바이오 단독형,11. 지역고교생 입학자 수,2025,2,2026,60
ind_79360ff0b6,1. 인력양성,1-3. 바이오 단독형,11. 지역고교생 입학자 수,2026,3,2026,60
ind_79360ff0b6,1. 인력양성,1-3. 바이오 단독형,11. 지역고교생 입학자 수,2027,4,2026,60
ind_79360ff0b6,1. 인력양성,1-3. 바이오 단독형,11. 지역고교생 입학자 수,2028,5,2026,60
ind_79360ff0b6,1. 인력양성,1-3. 바이오 단독형,11. 지역고교생 입학자 수,2029,6,2026,60
ind_7e134ac1f0,1. 인력양성,1-3. 바이오 단독형,01. 지산학연 특화 교수법 운영 실적,2025,46.1,2026,61
ind_7e134ac1f0,1. 인력양성,1-3. 바이오 단독형,01. 지산학연 특화 교수법 운영 실적,2026,49.2,2026,61
ind_7e134ac1f0,1. 인력양성,1-3. 바이오 단독형,01. 지산학연 특화 교수법 운영 실적,2027,52.9,2026,61
ind_7e134ac1f0,1. 인력양성,1-3. 바이오 단독형,01. 지산학연 특화 교수법 운영 실적,2028,56.6,2026,61
ind_7e134ac1f0,1. 인력양성,1-3. 바이오 단독형,01. 지산학연 특화 교수법 운영 실적,2029,60.3,2026,61
ind_30eb9ffdc8,1. 인력양성,1-3. 바이오 단독형,02. 교육과정 개발 실적,2025,1,2026,64
ind_30eb9ffdc8,1. 인력양성,1-3. 바이오 단독형,02. 교육과정 개발 실적,2026,3.1,2026,64
ind_30eb9ffdc8,1. 인력양성,1-3. 바이오 단독형,02. 교육과정 개발 실적,2027,5.5,2026,64
ind_30eb9ffdc8,1. 인력양성,1-3. 바이오 단독형,02. 교육과정 개발 실적,2028,7.2,2026,64
ind_30eb9ffdc8,1. 인력양성,1-3. 바이오 단독형,02. 교육과정 개발 실적,2029,9.6,2026,64
ind_ef7ccee874,1. 인력양성,1-3. 바이오 단독형,03. 캡스톤디자인 이수학생 수,2025,707.5,2026,67
ind_ef7ccee874,1. 인력양성,1-3. 바이오 단독형,03. 캡스톤디자인 이수학생 수,2026,720,2026,67
ind_ef7ccee874,1. 인력양성,1-3. 바이오 단독형,03. 캡스톤디자인 이수학생 수,2027,730,2026,67
ind_ef7ccee874,1. 인력양성,1-3. 바이오 단독형,03. 캡스톤디자인 이수학생 수,2028,740,2026,67
ind_ef7ccee874,1. 인력양성,1-3. 바이오 단독형,03. 캡스톤디자인 이수학생 수,2029,751.5,2026,67
ind_907a8d56c5,1. 인력양성,1-4. 반도체 단독형,02. 지역 내 취업자 수,2025,6,2026,72
ind_907a8d56c5,1. 인력양성,1-4. 반도체 단독형,02. 지역 내 취업자 수,2026,7,2026,72
ind_907a8d56c5,1. 인력양성,1-4. 반도체 단독형,02. 지역 내 취업자 수,2027,8,2026,72
ind_907a8d56c5,1. 인력양성,1-4. 반도체 단독형,02. 지역 내 취업자 수,2028,9,2026,72
ind_907a8d56c5,1. 인력양성,1-4. 반도체 단독형,02. 지역 내 취업자 수,2029,10,2026,72
