indicator_id,project_name,task_name,indicator_name,year,actual_value,target_value,achievement_rate,value_source,source_sheet,source_excel_row
ind_19a7eba533,2. 공동연구센터,1-4. 첨단바이오,15. 미래전략산업 학생연구원(석사) 참여자 수,2025,10,0,,EXCEL_2026_AH_COLUMN,2026,251
ind_9dee3e7d10,2. 공동연구센터,1-4. 첨단바이오,16. 미래전략산업 학생연구원(박사) 참여자 수,2025,6,13,,EXCEL_2026_AH_COLUMN,2026,252
ind_a222038786,2. 공동연구센터,1-5. AI첨단제조,01. 지산학연 공동연구 증가율,2025,1,0,,EXCEL_2026_AH_COLUMN,2026,253
ind_d8d0e48f0f,2. 공동연구센터,AI첨단제조,02. 특허 출원 건수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,254
ind_bcb03d5d52,2. 공동연구센터,AI첨단제조,03. 국내 특허 등록 건수,2025,9,0,,EXCEL_2026_AH_COLUMN,2026,255
ind_948f2caa9c,2. 공동연구센터,AI첨단제조,04. 해외 특허 등록 건수,2025,4,9,,EXCEL_2026_AH_COLUMN,2026,256
ind_da7e78b857,2. 공동연구센터,AI첨단제조,05. (SCI(E)급) 논문 게재 건수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,257
ind_53f3f2ba8a,2. 공동연구센터,AI첨단제조,06. (KCI급) 논문 게재 건수,2025,69800,20000,,EXCEL_2026_AH_COLUMN,2026,258
ind_408d09275b,2. 공동연구센터,AI첨단제조,07. 기타 지식재산권 등록 건수(디자인권·상표권·실용신안 등),2025,11,9,,EXCEL_2026_AH_COLUMN,2026,259
ind_78ea149040,2. 공동연구센터,AI첨단제조,08. 지산학연 공동연구를 통해 창출한 기술이전 수익,2025,11,,,EXCEL_2026_AH_COLUMN,2026,260
ind_8bf52dbf2d,2. 공동연구센터,AI첨단제조,(신규) 대학 전임교원 수(2. 2. 2. 공동연구센터 참여 교원),2025,6,3,,EXCEL_2026_AH_COLUMN,2026,262
ind_2638455c18,2. 공동연구센터,AI첨단제조,10. 연구과제 수주 증가율,2025,6,8,,EXCEL_2026_AH_COLUMN,2026,263
ind_1be8f7dca8,2. 공동연구센터,AI첨단제조,12. 1억 미만 연구과제 수주 건수,2025,29,22,,EXCEL_2026_AH_COLUMN,2026,265
ind_0810b3703e,2. 공동연구센터,AI첨단제조,13. 미래전략산업 학생연구원 참여 증가율,2025,21,5,,EXCEL_2026_AH_COLUMN,2026,266
